"Index","rank1","rank2","rank3","rank4","rank5","rank6","rank7"
"SP114","AMANDA MILLER","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","CRAIG CONOVER","CRAIG JENSEN","DALE WATSON","MICHAEL SNELSON"
"SP115","CRAIG JENSEN","MICHAEL SNELSON","DALE WATSON","XIMENA M. BISHOP","AMANDA MILLER","MARCIA CONOVER-HARRIS","CRAIG CONOVER"
"SP116","MARCIA CONOVER-HARRIS","CRAIG CONOVER","AMANDA MILLER","XIMENA M. BISHOP","CRAIG JENSEN","DALE WATSON","MICHAEL SNELSON"
"SP117","AMANDA MILLER","DALE WATSON","CRAIG CONOVER","MARCIA CONOVER-HARRIS","CRAIG JENSEN","XIMENA M. BISHOP","MICHAEL SNELSON"
"SP118","CRAIG JENSEN","MICHAEL SNELSON","skipped","skipped","skipped","MARCIA CONOVER-HARRIS","CRAIG CONOVER"
"SP119","CRAIG CONOVER","MARCIA CONOVER-HARRIS","AMANDA MILLER","CRAIG JENSEN","MICHAEL SNELSON","XIMENA M. BISHOP","DALE WATSON"
"SP120","CRAIG JENSEN","CRAIG CONOVER","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","DALE WATSON","AMANDA MILLER","XIMENA M. BISHOP"
"SP121","AMANDA MILLER","DALE WATSON","CRAIG CONOVER","MARCIA CONOVER-HARRIS","CRAIG JENSEN","XIMENA M. BISHOP","MICHAEL SNELSON"
"SP122","MICHAEL SNELSON","CRAIG JENSEN","DALE WATSON","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","AMANDA MILLER","CRAIG CONOVER"
"SP123","DALE WATSON","XIMENA M. BISHOP","CRAIG JENSEN","AMANDA MILLER","CRAIG CONOVER","MICHAEL SNELSON","MARCIA CONOVER-HARRIS"
"SP124","MICHAEL SNELSON","CRAIG JENSEN","AMANDA MILLER","CRAIG CONOVER","MARCIA CONOVER-HARRIS","DALE WATSON","XIMENA M. BISHOP"
"SP125","CRAIG CONOVER","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","CRAIG JENSEN","DALE WATSON","overvote","skipped"
"SP126","CRAIG CONOVER","MICHAEL SNELSON","CRAIG JENSEN","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","AMANDA MILLER","DALE WATSON"
"SP127","MICHAEL SNELSON","skipped","skipped","skipped","skipped","skipped","skipped"
"SP128","MICHAEL SNELSON","CRAIG JENSEN","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","AMANDA MILLER","DALE WATSON","CRAIG CONOVER"
"SP129","MICHAEL SNELSON","CRAIG CONOVER","CRAIG JENSEN","DALE WATSON","CRAIG CONOVER","XIMENA M. BISHOP","AMANDA MILLER"
"SP130","CRAIG JENSEN","CRAIG CONOVER","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","AMANDA MILLER","XIMENA M. BISHOP","DALE WATSON"
"SP131","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","AMANDA MILLER","MICHAEL SNELSON","CRAIG CONOVER","CRAIG JENSEN","DALE WATSON"
"SP132","MICHAEL SNELSON","CRAIG CONOVER","CRAIG JENSEN","DALE WATSON","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","AMANDA MILLER"
"SP133","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","skipped","skipped","skipped","skipped","skipped"
"SP134","MICHAEL SNELSON","CRAIG CONOVER","AMANDA MILLER","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","CRAIG JENSEN","DALE WATSON"
"SP135","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","skipped","skipped","skipped","skipped","skipped"
"SP136","MICHAEL SNELSON","CRAIG CONOVER","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","CRAIG JENSEN","AMANDA MILLER","DALE WATSON"
"SP137","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","CRAIG CONOVER","CRAIG JENSEN","XIMENA M. BISHOP","AMANDA MILLER","DALE WATSON"
"SP138","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","skipped","skipped","skipped","skipped","skipped"
"SP139","MICHAEL SNELSON","CRAIG CONOVER","MARCIA CONOVER-HARRIS","CRAIG JENSEN","AMANDA MILLER","DALE WATSON","XIMENA M. BISHOP"
"SP140","MICHAEL SNELSON","DALE WATSON","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","CRAIG CONOVER","CRAIG JENSEN","AMANDA MILLER"
"SP141","MICHAEL SNELSON","CRAIG CONOVER","MARCIA CONOVER-HARRIS","CRAIG JENSEN","AMANDA MILLER","DALE WATSON","XIMENA M. BISHOP"
"SP142","XIMENA M. BISHOP","AMANDA MILLER","CRAIG JENSEN","skipped","skipped","skipped","skipped"
"SP143","CRAIG CONOVER","AMANDA MILLER","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","CRAIG JENSEN","DALE WATSON","XIMENA M. BISHOP"
"SP144","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"SP145","CRAIG CONOVER","MARCIA CONOVER-HARRIS","DALE WATSON","MICHAEL SNELSON","CRAIG JENSEN","XIMENA M. BISHOP","AMANDA MILLER"
"SP146","MICHAEL SNELSON","DALE WATSON","XIMENA M. BISHOP","CRAIG JENSEN","CRAIG CONOVER","MARCIA CONOVER-HARRIS","AMANDA MILLER"
"SP147","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","XIMENA M. BISHOP","skipped","skipped","skipped","skipped"
"SP148","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","XIMENA M. BISHOP","CRAIG JENSEN","skipped","skipped","skipped"
"SP149","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"SP150","CRAIG CONOVER","AMANDA MILLER","XIMENA M. BISHOP","MICHAEL SNELSON","DALE WATSON","MARCIA CONOVER-HARRIS","CRAIG JENSEN"
