"Index","rank1","rank2","rank3","rank4"
"GE281","HALE ROBISON","GRANT LUNDBERG","skipped","skipped"
"GE282","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE283","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE284","HALE ROBISON","GRANT LUNDBERG","skipped","skipped"
"GE285","DARON S. HUGHES","HALE ROBISON","GRANT LUNDBERG","skipped"
"GE286","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE287","skipped","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG"
"GE288","HALE ROBISON","HALE ROBISON","HALE ROBISON","HALE ROBISON"
"GE289","skipped","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG"
"GE290","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE291","HALE ROBISON","skipped","GRANT LUNDBERG","DARON S. HUGHES"
"GE292","HALE ROBISON","GRANT LUNDBERG","skipped","skipped"
"GE293","skipped","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON"
"GE294","HALE ROBISON","GRANT LUNDBERG","skipped","DARON S. HUGHES"
"GE295","skipped","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON"
"GE296","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE297","HALE ROBISON","GRANT LUNDBERG","skipped","skipped"
"GE298","HALE ROBISON","DARON S. HUGHES","skipped","skipped"
"GE299","HALE ROBISON","skipped","DARON S. HUGHES","GRANT LUNDBERG"
"GE300","HALE ROBISON","DARON S. HUGHES","skipped","skipped"
"GE301","HALE ROBISON","skipped","DARON S. HUGHES","GRANT LUNDBERG"
"GE302","HALE ROBISON","skipped","GRANT LUNDBERG","DARON S. HUGHES"
"GE303","GRANT LUNDBERG","HALE ROBISON","skipped","DARON S. HUGHES"
"GE304","skipped","skipped","skipped","skipped"
"GE305","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE306","GRANT LUNDBERG","DARON S. HUGHES","HALE ROBISON","skipped"
"GE307","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE308","DARON S. HUGHES","HALE ROBISON","GRANT LUNDBERG","skipped"
"GE309","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE310","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE311","DARON S. HUGHES","skipped","HALE ROBISON","GRANT LUNDBERG"
"GE312","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE313","DARON S. HUGHES","HALE ROBISON","skipped","GRANT LUNDBERG"
"GE314","DARON S. HUGHES","GRANT LUNDBERG","skipped","skipped"
"GE315","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE316","GRANT LUNDBERG","skipped","HALE ROBISON","DARON S. HUGHES"
"GE317","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE318","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE319","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE320","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE321","HALE ROBISON","skipped","skipped","skipped"
"GE322","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE323","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE324","skipped","DARON S. HUGHES","HALE ROBISON","GRANT LUNDBERG"
"GE325","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE326","HALE ROBISON","DARON S. HUGHES","skipped","GRANT LUNDBERG"
"GE327","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE328","skipped","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES"
"GE329","HALE ROBISON","GRANT LUNDBERG","skipped","DARON S. HUGHES"
"GE330","skipped","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES"
"GE331","HALE ROBISON","DARON S. HUGHES","skipped","GRANT LUNDBERG"
"GE332","skipped","GRANT LUNDBERG","DARON S. HUGHES","HALE ROBISON"
"GE333","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE334","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE335","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE336","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE337","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE338","HALE ROBISON","skipped","DARON S. HUGHES","GRANT LUNDBERG"
"GE339","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE340","HALE ROBISON","skipped","GRANT LUNDBERG","DARON S. HUGHES"
"GE341","GRANT LUNDBERG","DARON S. HUGHES","HALE ROBISON","skipped"
"GE342","HALE ROBISON","GRANT LUNDBERG","skipped","DARON S. HUGHES"
"GE343","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE344","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE345","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE346","HALE ROBISON","skipped","GRANT LUNDBERG","DARON S. HUGHES"
"GE347","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE348","HALE ROBISON","GRANT LUNDBERG","skipped","DARON S. HUGHES"
"GE349","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE350","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
